ID,name,link
46,Full Control Bodyweight App - Tuck Jump Burpees - DE,https://www.youtube.com/embed/AVgLehqvrEQ?si=_cCIPOa9jLK-9M-v
47,Full Control Bodyweight App - Catch Hook Sprawls - DE,https://www.youtube.com/embed/U2yCQpCLH6k?si=zjfuqd08K1HmwP5p
48,Full Control Bodyweight App - Jump Squats - DE,https://www.youtube.com/embed/sLnqo98F8UE?si=TwxzugTurv-qHP43
49,Full Control Bodyweight App - Shuttle Push-ups - DE,https://www.youtube.com/embed/r4mrERTxQCs?si=5GDPmXlJ7u3OOspL
50,Full Control Bodyweight App - MMA Push-ups - DE,https://www.youtube.com/embed/YBkX_RjWjhc?si=TOy43iQh54mHdAg9
51,Full Control Bodyweight App - Spiderman Push-ups - DE,https://www.youtube.com/embed/MoJyDlv9fOk?si=3CZYPtv4cHppYtjC
52,Full Control Bodyweight App - Inchworm Push-ups - DE,https://www.youtube.com/embed/j4zn6VuGwzw?si=dYs9Pa06qBIrNjvH
53,Full Control Bodyweight App - Leg Raises - DE,https://www.youtube.com/embed/4TOuW4FuAlo?si=zXFUg6QVA1hExURm
54,Full Control Bodyweight App - Jump Lunges - DE,https://www.youtube.com/embed/uBiOKvH-bgk?si=K7owKh6c68T1_kZz
55,Full Control Bodyweight App - Quick High Knees - DE,https://www.youtube.com/embed/rOoOlAd79bA?si=UBoG0Vc5UK8LfpMr
56,Full Control Bodyweight App - Sit-ups - DE,https://www.youtube.com/embed/PyoOmcBBDt4?si=aCcY5FrNhUS-tCgc
57,Full Control Bodyweight App - Windshield Wipers - DE,https://www.youtube.com/embed/fc68ePju6xg?si=GYiRqKsMzqEwp6cx
58,Full Control Bodyweight App - Russian Sit-ups - DE,https://www.youtube.com/embed/k3uwxwF-HBw?si=k5_cjILp-ZOR8045
59,Full Control Bodyweight App - One Handed Sprawls - DE,https://www.youtube.com/embed/z4DwA49-_cQ?si=RSrOuSjNSmWGRsBY
60,Full Control Bodyweight App - Mountain Climbers Pylo Spider - DE,https://www.youtube.com/embed/2uaMnEg89bU?si=TTM4HKSTcQMh0LMm
61,Full Control Bodyweight App - Frog Burpees - DE,https://www.youtube.com/embed/MondW3U4eFI?si=QrMsp3d4R3xMHC-j
62,Full Control Bodyweight App - Skipping Burpees - DE,https://www.youtube.com/embed/SQUWxfyGuck?si=hI-YJyf4puNRiGRE
63,Full Control Bodyweight App - Plank Jacks - DE,https://www.youtube.com/embed/leGiQk_vvDA?si=8VPfDw_d_a4NzdrL
64,Full Control Bodyweight App - Skipping Burpees - EN,https://www.youtube.com/embed/NbG2Z0hBpyQ?si=qvPD4yyG0XcgpIuJ
65,Full Control Bodyweight App - Inchworm Push-ups - English,https://www.youtube.com/embed/JhmbIX4QRmY?si=3FysBxS4ldn5w4NO
66,Back Lunge Front Kicks,https://www.youtube.com/embed/q9A5Ec-LUHM?si=_b3qfN8x8xGocjFP
67,Bicycle Crunches,https://www.youtube.com/embed/opobCUeSBnE?si=UWd2eeY4k1EL_m7a
68,Bicycle Sit-ups,https://www.youtube.com/embed/z2lkRR9mIbY?si=Tw43CtnrctqPuIM0
69,Easy Russian Sit-ups,https://www.youtube.com/embed/hsVCet4L-DM?si=X4KXWvNWEMHP-HTG
70,Easy Windshield Wipers,https://www.youtube.com/embed/yvaBgP6Oy94?si=D0DexVY5WDhfhYxq
71,Holding V,https://www.youtube.com/embed/pRYai-6EDN4?si=5ozbOQEkwp2YebNa
72,Knee Tuck Crunches,https://www.youtube.com/embed/wb4_WqICwQ4?si=fxm-CcICKhyNODW-
73,Bicycles,https://www.youtube.com/embed/wSvlClXTQmw?si=9jRqf5ABMyZS0GSN
74,Easy Bicycle Crunches,https://www.youtube.com/embed/qGyv1tCPBzQ?si=IuO8bcsymR3ViO-v
75,Easy Leg Raises,https://www.youtube.com/embed/iJNPPxRJpw0?si=J5xVaKg6l6ffY5o-
76,Easy Scissor Kicks,https://www.youtube.com/embed/P26r4zP7oog?si=R-bwgRUt_HMwT4BG
77,Hip Raise Hold,https://www.youtube.com/embed/CovsTASA8gw?si=dIwYBBJf75EwXqGY
78,Hip Raises,https://www.youtube.com/embed/xqu1FS7doEk?si=mRMEs2GuZogxSzcL
79,Jackknives,https://www.youtube.com/embed/GDn8abd4-Es?si=kmP832dePjSAGu-m
80,Leg Raises,https://www.youtube.com/embed/RgdOUBCRbUg?si=piT8YupKV_SdTrR0
81,Low Side Plank Crunches Left,https://www.youtube.com/embed/HLs_b0qgcpA?si=cI0Ne9UnIaLvASd0
82,Low Side Plank Crunches Right,https://www.youtube.com/embed/Ez6Eh4RDM84?si=BNfyJ29aW7V3BImt
83,Low Side Plank Crunches Left,https://www.youtube.com/embed/HLs_b0qgcpA?si=CHFMuaT2Ugg5mWiF
84,Low Side Plank Crunches Right,https://www.youtube.com/embed/Ez6Eh4RDM84?si=W98laXiCkPMJhiP5
85,Reverse Crunch,https://www.youtube.com/embed/GYZnXGZCPSY?si=wGhyMSaaULNZwlnY
86,Reverse Inchworm,https://www.youtube.com/embed/bJPJWkY3W7c?si=0xnJPOxW_XzYzcyo
87,Russian Sit-ups,https://www.youtube.com/embed/O6pfyFbkmPA?si=2wWSSTu1kb7AUVVX
88,Russian Sit-ups High Legs,https://www.youtube.com/embed/-dtWcvucqbY?si=rs8ZUtYz5mDFI_3k
89,Russian Sit-ups Straight Legs,https://www.youtube.com/embed/uA13KIzO7po?si=dEYg7n4elZJnOg-Y
90,Scissor Kicks,https://www.youtube.com/embed/tC214gA6qNE?si=M1DjREbr-OA2MTMS
91,Single Leg Raises,https://www.youtube.com/embed/9VfpMx_cmb4?si=Fp2LsRcB3KSRZmXB
92,Sit-ups,https://www.youtube.com/embed/heo64wpbuWQ?si=8GKJIn_sy73rYGUs
93,Sit-ups Elbow Knee Taps,https://www.youtube.com/embed/KFnX7VRPKuk?si=XPuibOMsZjLQKDfz
94,Sitting Knee Tuck Crunches,https://www.youtube.com/embed/uLgKTY-8gi4?si=elyHJN-d4omWuhSZ
95,Sitting Leg Raises,https://www.youtube.com/embed/LL1XooTxJWY?si=e6EcGEHVEJ6d-zfz
96,Sitting Scissor Kicks,https://www.youtube.com/embed/j1H-YfnGKlM?si=QziWVFzRHz_VbFWq
97,Sitting Scissor Kicks High Legs,https://www.youtube.com/embed/-U08CeW0PNk?si=APrhsr3SQna2Baps
98,Sitting Windshield Wipers,https://www.youtube.com/embed/6Az-SZKpPc0?si=QR4sNc1vuMmWoyxg
99,Toe Touch Crunches,https://www.youtube.com/embed/xH5ECXaZYn0?si=I777K8vIg6U7WQVR
100,Windshield Wipers,https://www.youtube.com/embed/OH4Jjnr7bF4?si=kbvLvXejAl6yE1gq
101,180 Jump Squats,https://www.youtube.com/embed/nGPeAt-KHdQ?si=HBbXoGR_gt84GG2k
102,Back Lunges,https://www.youtube.com/embed/tueRlnClH7g?si=f-3yE--HJqmS9v2g
103,Calf Raises,https://www.youtube.com/embed/haj7bhjYYzM?si=l2QNfR1vYXF-YLJz
104,Cossack Squats,https://www.youtube.com/embed/g8C1spJtheo?si=FlanyhP-zZAT5dRS
105,Drop Squats,https://www.youtube.com/embed/xgQGXnBcJSI?si=HyYhH52M5IbuHc-_
106,Easy Lunges,https://www.youtube.com/embed/5kRDBWvIDUE?si=hGSOBMjLLEfs9a2z
107,Easy Side Lunges,https://www.youtube.com/embed/IXbPIt4HHrg?si=pqOiBc9oidLEweSu
108,Floor Jumps,https://www.youtube.com/embed/hiEH3W6bhWg?si=SVTc23BP5NQtqa0g
109,Frog Jumps,https://www.youtube.com/embed/NtFvUsqBAPA?si=540aV4aGUh0hghkP
110,Front Kick Squats,https://www.youtube.com/embed/XZr6O4WHSQw?si=EcKmsNNSmfKWR45C
111,High Side Knees,https://www.youtube.com/embed/Wlj6P3ayP4Q?si=tjM0F1vXUpDprkNf
112,In & Out Squats,https://www.youtube.com/embed/Cric4RLzuhc?si=BHm1l_9L92IBRE-I
113,Jogging High Knees,https://www.youtube.com/embed/hSW3MiRGJuI?si=Hwvq5jKZ4nOh9veu
114,Jump Lunges,https://www.youtube.com/embed/WZkmjKPlfGE?si=f8kgg-65pGbpU2qO
115,Knee Leg Lifts Right,https://www.youtube.com/embed/yyBwdfmIArk?si=knhg1ca6srUaIk6y
116,Knee Leg Lifts Left,https://www.youtube.com/embed/Wh36QdYdR2M?si=r7tCnurRVVHv6d0Z
117,Knee Leg Side Lifts Left,https://www.youtube.com/embed/jOHRNXhlaZ0?si=S71K5nTq7B4D3kdL
118,Knee Leg Side Lifts Left,https://www.youtube.com/embed/jOHRNXhlaZ0?si=x3dRQJjAflBG8Shs
119,Knee Leg Side Lifts Right,https://www.youtube.com/embed/NMeiyKseNGQ?si=K8xD1NMT57xX6x92
120,Lunge Steps Left,https://www.youtube.com/embed/YINFqxccMB0?si=P_hKvXl976CbT0No
121,Lunge Steps Right,https://www.youtube.com/embed/SP6ZDFqDcGs?si=5EZ2bQRPZ-HwTOcy
122,Pistol Squats,https://www.youtube.com/embed/vU5yyi6Kf64?si=no7Eq8Yt9iG9mdyI
123,Quick Feet Squats,https://www.youtube.com/embed/l3Qpk3o8O58?si=idEl0rYhA-lklP7p
124,Running High Knees,https://www.youtube.com/embed/CSb047nBQ54?si=q1IRrQJk52Aiw5pr
125,Side Lunges,https://www.youtube.com/embed/qsESZCXQkrY?si=Y5EXdZ0aia8eHsS-
126,Squats,https://www.youtube.com/embed/YXzNxqdOiNk?si=mOsPMjByHXkVEX9I
127,Tuck Jump Front Kicks,https://www.youtube.com/embed/sVPGEPM0Xo8?si=bUeYfrpNJ5TetgvI
128,Tuck Jumps,https://www.youtube.com/embed/0geOw4a3kHc?si=-GZctzchCSsDfFDG
129,Walking Kicks,https://www.youtube.com/embed/QwX79qtemDw?si=YYyF0GV0suQSU9PY
130,Wall Sit,https://www.youtube.com/embed/gXrPDbr8J74?si=zpU9ESac0-BZJhrj
131,Tuck Jump Squats,https://www.youtube.com/embed/BjqxHBWCRr4?si=-k3-1wW8PzDhU5G5
132,Box Jump Side Lunges,https://www.youtube.com/embed/wwdCtBwGlCg?si=89bFPiTYGrdPmYbZ
133,Box Jump Side Lunges,https://www.youtube.com/embed/wwdCtBwGlCg?si=RiV8m4cE0IEak0Ed
134,Feet elevated Push-ups,https://www.youtube.com/embed/7t0KVkD9Crw?si=tEZd0yun7JPSwxXx
135,Feet elevated Push-ups,https://www.youtube.com/embed/7t0KVkD9Crw?si=Blwcebt_h284FjXZ
136,Feet elevated Pike Push-ups,https://www.youtube.com/embed/eQHLQMNTy_0?si=Pjw48uKyC1Ql-luE
137,Feet Elevated Lunges Right,https://www.youtube.com/embed/xCOgWrdYZnU?si=ePD4kuMCY_17pjrD
138,Feet Elevated Lunges Left,https://www.youtube.com/embed/oWDQeH4LbR8?si=n-vg2Jc_NIzjyO2f
139,Tipping Box Runs,https://www.youtube.com/embed/e6A82-nlmEg?si=3ythN4s0KYFsLHJG
140,Quick Box Jumps,https://www.youtube.com/embed/8QuPTeZAt0w?si=omYPv2ISdDlzPfDV
141,One Leg Box Jump L,https://www.youtube.com/embed/zzRgiUgEHGk?si=P8LjuSRa8codtHtc
142,One Leg Box Jump R,https://www.youtube.com/embed/HGdIJ_sqzzw?si=dHnfBYJQQjCIKbs3
143,Hand elevated Triceps Dips,https://www.youtube.com/embed/3AhLqs00bLc?si=wpe3ESYZi6E1NUGJ
144,Explosive Box Jump Stepups,https://www.youtube.com/embed/8BfPAhwrZZM?si=pV_WWeoKmEX79nsG
145,Skipping Burpees,https://www.youtube.com/embed/WAtNeC0KUsI?si=Yq16O8Lkm486zi2j
146,Frog Jump Burpees,https://www.youtube.com/embed/s7KGtbprREg?si=68v5wCa3EcPEx9WB
147,Frog Jump Burpees,https://www.youtube.com/embed/s7KGtbprREg?si=BoFwR4ymZDGFAeQr
148,Frog Jump Push-up Burpees,https://www.youtube.com/embed/DVjckCIHeao?si=oPtssG5k-paPFQRD
